"SEMEL_YISHUV","year","loc","locality","lat","long","distance","semel_map","treated","temporal_distance","number_of_red_alerts","temporal_group","turnover_percentage","post","year_election","X","SHEM_YISHUV","SHEM_YISHUV_ENGLISH","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","Shape_Area","density","age_65_up_percentage","ntl"
74,2013,"עיןהוד","עין הוד",32.6995071,34.9821209,130.855452694518,74,1,232,1,"temporal_distance > 200",0.70935960591133,FALSE,2013,593,"עין הוד","EN HOD",1,"יהודי",590,300,280,140,40,60,260,90,0.301117855205259,1959.36570947553,0.152542372881356,41
74,2015,"עיןהוד","עין הוד",32.6995071,34.9821209,130.855452694518,74,1,232,1,"temporal_distance > 200",0.745575221238938,TRUE,2015,597,"עין הוד","EN HOD",1,"יהודי",590,300,290,140,40,60,270,90,0.301117855205259,1959.36570947553,0.152542372881356,43
74,2019,"עיןהוד","עין הוד",32.6995071,34.9821209,130.855452694518,74,1,232,1,"temporal_distance > 200",0.721774193548387,TRUE,2019.4,598,"עין הוד","EN HOD",1,"יהודי",643,324,319,155,39,60,296,93,0.301117855205259,2135.37652744536,0.144634525660964,NA
74,2019,"עיןהוד","עין הוד",32.6995071,34.9821209,130.855452694518,74,1,232,1,"temporal_distance > 200",0.743951612903226,TRUE,2019,598,"עין הוד","EN HOD",1,"יהודי",643,324,319,155,39,60,296,93,0.301117855205259,2135.37652744536,0.144634525660964,NA
74,2020,"עיןהוד","עין הוד",32.6995071,34.9821209,130.855452694518,74,1,232,1,"temporal_distance > 200",0.707661290322581,TRUE,2020,601,"עין הוד","EN HOD",1,"יהודי",651,327,321,158,37,65,297,94,0.301117855205259,2161.94419808232,0.144393241167435,NA
74,2021,"עיןהוד","עין הוד",32.6995071,34.9821209,130.855452694518,74,1,232,1,"temporal_distance > 200",0.698630136986301,TRUE,2021,595,"עין הוד","EN HOD",1,"יהודי",665,338,328,153,47,64,302,99,0.301117855205259,2208.43762169699,0.148872180451128,NA
74,2022,"עיןהוד","עין הוד",32.6995071,34.9821209,130.855452694518,74,1,232,1,"temporal_distance > 200",0.644787644787645,TRUE,2022,602,"עין הוד","EN HOD",1,"יהודי",664,336,328,153,50,56,299,106,0.301117855205259,2205.11666286737,0.159638554216867,NA
80,2009,"נהלל","נהלל",32.6916755,35.198956,136.377516548183,80,1,6,1,"temporal_distance == 6",0.733113673805601,FALSE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,2013,"נהלל","נהלל",32.6916755,35.198956,136.377516548183,80,1,6,1,"temporal_distance == 6",0.759873617693523,FALSE,2013,658,"נהלל","NAHALAL",1,"יהודי",920,490,420,200,200,100,320,110,7.05674444147492,130.371732692039,0.119565217391304,61.8888888888889
80,2015,"נהלל","נהלל",32.6916755,35.198956,136.377516548183,80,1,6,1,"temporal_distance == 6",0.779279279279279,TRUE,2015,659,"נהלל","NAHALAL",1,"יהודי",960,510,450,210,220,100,330,100,7.05674444147492,136.040068896041,0.104166666666667,55.5555555555556
80,2019,"נהלל","נהלל",32.6916755,35.198956,136.377516548183,80,1,6,1,"temporal_distance == 6",0.754716981132076,TRUE,2019.4,664,"נהלל","NAHALAL",1,"יהודי",930,453,477,276,69,94,364,127,7.05674444147492,131.788816743039,0.136559139784946,NA
80,2019,"נהלל","נהלל",32.6916755,35.198956,136.377516548183,80,1,6,1,"temporal_distance == 6",0.761442441054092,TRUE,2019,664,"נהלל","NAHALAL",1,"יהודי",930,453,477,276,69,94,364,127,7.05674444147492,131.788816743039,0.136559139784946,NA
80,2020,"נהלל","נהלל",32.6916755,35.198956,136.377516548183,80,1,6,1,"temporal_distance == 6",0.757738896366083,TRUE,2020,670,"נהלל","NAHALAL",1,"יהודי",1181,594,588,365,195,101,394,126,7.05674444147492,167.35762642315,0.106689246401355,NA
80,2021,"נהלל","נהלל",32.6916755,35.198956,136.377516548183,80,1,6,1,"temporal_distance == 6",0.763089005235602,TRUE,2021,667,"נהלל","NAHALAL",1,"יהודי",1253,639,614,370,236,96,422,128,7.05674444147492,177.560631590353,0.102154828411812,NA
80,2022,"נהלל","נהלל",32.6916755,35.198956,136.377516548183,80,1,6,1,"temporal_distance == 6",0.741626794258373,TRUE,2022,660,"נהלל","NAHALAL",1,"יהודי",1351,689,662,395,276,96,455,128,7.05674444147492,191.448055290157,0.0947446336047372,NA
82,2009,"עיןחרודמאוחד","עין חרוד (מאוחד)",32.557856,35.391689,136.001912444944,82,1,6,1,"temporal_distance == 6",0.708955223880597,FALSE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,2013,"עיןחרודמאוחד","עין חרוד (מאוחד)",32.557856,35.391689,136.001912444944,82,1,6,1,"temporal_distance == 6",0.706056129985229,FALSE,2013,676,"עין חרוד (מאוחד)","EN HAROD(ME'UHAD)",1,"יהודי",720,360,360,140,50,110,280,150,0.694092443984341,1037.32580038898,0.208333333333333,56
82,2015,"עיןחרודמאוחד","עין חרוד (מאוחד)",32.557856,35.391689,136.001912444944,82,1,6,1,"temporal_distance == 6",0.714285714285714,TRUE,2015,675,"עין חרוד (מאוחד)","EN HAROD(ME'UHAD)",1,"יהודי",740,360,380,160,30,110,280,160,0.694092443984341,1066.14040595534,0.216216216216216,49
82,2019,"עיןחרודמאוחד","עין חרוד (מאוחד)",32.557856,35.391689,136.001912444944,82,1,6,1,"temporal_distance == 6",0.737388724035608,TRUE,2019.4,674,"עין חרוד (מאוחד)","EN HAROD(ME'UHAD)",1,"יהודי",760,371,389,178,44,86,283,168,0.694092443984341,1094.9550115217,0.221052631578947,NA
82,2019,"עיןחרודמאוחד","עין חרוד (מאוחד)",32.557856,35.391689,136.001912444944,82,1,6,1,"temporal_distance == 6",0.722058823529412,TRUE,2019,674,"עין חרוד (מאוחד)","EN HAROD(ME'UHAD)",1,"יהודי",760,371,389,178,44,86,283,168,0.694092443984341,1094.9550115217,0.221052631578947,NA
82,2020,"עיןחרודמאוחד","עין חרוד (מאוחד)",32.557856,35.391689,136.001912444944,82,1,6,1,"temporal_distance == 6",0.725146198830409,TRUE,2020,679,"עין חרוד (מאוחד)","EN HAROD(ME'UHAD)",1,"יהודי",778,371,403,190,45,80,289,174,0.694092443984341,1120.88815653143,0.223650385604113,NA
82,2021,"עיןחרודמאוחד","עין חרוד (מאוחד)",32.557856,35.391689,136.001912444944,82,1,6,1,"temporal_distance == 6",0.716763005780347,TRUE,2021,677,"עין חרוד (מאוחד)","EN HAROD(ME'UHAD)",1,"יהודי",780,371,408,186,53,80,285,178,0.694092443984341,1123.76961708806,0.228205128205128,NA
82,2022,"עיןחרודמאוחד","עין חרוד (מאוחד)",32.557856,35.391689,136.001912444944,82,1,6,1,"temporal_distance == 6",0.681556195965418,TRUE,2022,672,"עין חרוד (מאוחד)","EN HAROD(ME'UHAD)",1,"יהודי",779,371,408,188,54,69,291,177,0.694092443984341,1122.32888680974,0.227214377406932,NA
84,2009,"תליוסף","תל יוסף",32.555386,35.398222,136.375925711462,84,1,6,1,"temporal_distance == 6",0.692520775623269,FALSE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
