SEMEL_YISHUV,locality,loc,distance,treated,temporal_distance,number_of_red_alerts,temporal_group,year,party_percentage,party_source,post,year_election,X,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,Religion_yishuv_Code,Religion_yishuv_Txt,Pop_Total,Male_Total,Female_Total,age_0_14,age_15_19,age_20_29,age_30_64,age_65_up,Shape_Area,density,age_65_up_percentage,ntl
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2006,0.0016366612111293,Party_habait_hayehudi,FALSE,2006,682,גן שמואל,GAN SHEMU'EL,1,NA,830,NA,NA,NA,NA,NA,NA,NA,0.647847112775246,1281.16647220121,NA,61
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2009,0,Party_habait_hayehudi,FALSE,2009,672,גן שמואל,GAN SHEMU'EL,1,NA,792,NA,NA,NA,NA,NA,NA,NA,0.647847112775246,1222.51065781127,NA,59
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2013,0.00627943485086342,Party_habait_hayehudi,FALSE,2013,681,גן שמואל,GAN SHEMU'EL,1,יהודי,860,410,440,190,40,110,350,160,0.647847112775246,1327.473694088,0.186046511627907,63
72,גן שמואל,גןשמואל,104.12724532114004,0,NA,NA,no_red_alert,2015,0.0029806259314456,Party_habait_hayehudi,TRUE,2015,675,גן שמואל,GAN SHEMU'EL,1,יהודי,870,420,460,200,40,110,350,180,0.647847112775246,1342.90943471693,0.206896551724138,62
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2006,0,Party_habait_hayehudi,FALSE,2006,694,עין הוד,EN HOD,1,NA,519,NA,NA,NA,NA,NA,NA,NA,0.301117855205259,1723.57763257254,NA,31
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2009,0.0169491525423729,Party_habait_hayehudi,FALSE,2009,692,עין הוד,EN HOD,1,NA,503,NA,NA,NA,NA,NA,NA,NA,0.301117855205259,1670.44229129863,NA,39.75
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2013,0.048951048951049,Party_habait_hayehudi,FALSE,2013,697,עין הוד,EN HOD,1,יהודי,590,300,280,140,40,60,260,90,0.301117855205259,1959.36570947553,0.152542372881356,41
74,עין הוד,עיןהוד,130.85545269451796,1,232,1,temporal_distance > 149,2015,0.0297619047619048,Party_habait_hayehudi,TRUE,2015,695,עין הוד,EN HOD,1,יהודי,590,300,290,140,40,60,270,90,0.301117855205259,1959.36570947553,0.152542372881356,43
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2006,0.026378896882494,Party_habait_hayehudi,FALSE,2006,772,נהלל,NAHALAL,1,NA,913,NA,NA,NA,NA,NA,NA,NA,7.05674444147492,129.379773856339,NA,57.2222222222222
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2009,0.00225733634311512,Party_habait_hayehudi,FALSE,2009,760,נהלל,NAHALAL,1,NA,849,NA,NA,NA,NA,NA,NA,NA,7.05674444147492,120.310435929936,NA,57
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2013,0.0251572327044025,Party_habait_hayehudi,FALSE,2013,765,נהלל,NAHALAL,1,יהודי,920,490,420,200,200,100,320,110,7.05674444147492,130.371732692039,0.119565217391304,61.8888888888889
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2015,0.0250965250965251,Party_habait_hayehudi,TRUE,2015,766,נהלל,NAHALAL,1,יהודי,960,510,450,210,220,100,330,100,7.05674444147492,136.040068896041,0.104166666666667,55.5555555555556
82,עין חרוד (מאוחד),עיןחרודמאוחד,136.0019124449435,1,6,1,temporal_distance == 6,2006,0.0385487528344671,Party_habait_hayehudi,FALSE,2006,773,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,NA,730,NA,NA,NA,NA,NA,NA,NA,0.694092443984341,1051.73310317216,NA,47
82,עין חרוד (מאוחד),עיןחרודמאוחד,136.0019124449435,1,6,1,temporal_distance == 6,2009,0.0422832980972516,Party_habait_hayehudi,FALSE,2009,778,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,NA,721,NA,NA,NA,NA,NA,NA,NA,0.694092443984341,1038.7665306673,NA,46.75
