SEMEL_YISHUV,locality,loc,distance,treated,temporal_distance,number_of_red_alerts,temporal_group,year,party_percentage,party_source,post,year_election,X,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,Religion_yishuv_Code,Religion_yishuv_Txt,Pop_Total,Male_Total,Female_Total,age_0_14,age_15_19,age_20_29,age_30_64,age_65_up,Shape_Area,density,age_65_up_percentage,ntl
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2015,0.779279279279279,Party_turnout,TRUE,2015,766,נהלל,NAHALAL,1,יהודי,960,510,450,210,220,100,330,100,7.05674444147492,136.040068896041,0.104166666666667,55.5555555555556
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2019,0.761442441054092,Party_turnout,TRUE,2019,764,נהלל,NAHALAL,1,יהודי,930,453,477,276,69,94,364,127,7.05674444147492,131.788816743039,0.136559139784946,NA
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2019,0.754716981132076,Party_turnout,TRUE,2019.2,764,נהלל,NAHALAL,1,יהודי,930,453,477,276,69,94,364,127,7.05674444147492,131.788816743039,0.136559139784946,NA
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2020,0.757738896366083,Party_turnout,TRUE,2020,771,נהלל,NAHALAL,1,יהודי,1181,594,588,365,195,101,394,126,7.05674444147492,167.35762642315,0.106689246401355,NA
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2021,0.763089005235602,Party_turnout,TRUE,2021,761,נהלל,NAHALAL,1,יהודי,1253,639,614,370,236,96,422,128,7.05674444147492,177.560631590353,0.102154828411812,NA
80,נהלל,נהלל,136.37751654818305,1,6,1,temporal_distance == 6,2022,0.741626794258373,Party_turnout,TRUE,2022,758,נהלל,NAHALAL,1,יהודי,1351,689,662,395,276,96,455,128,7.05674444147492,191.448055290157,0.0947446336047372,NA
82,עין חרוד (מאוחד),עיןחרודמאוחד,136.0019124449435,1,6,1,temporal_distance == 6,2006,0.651568186464936,Party_turnout,FALSE,2006,773,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,NA,730,NA,NA,NA,NA,NA,NA,NA,0.694092443984341,1051.73310317216,NA,47
82,עין חרוד (מאוחד),עיןחרודמאוחד,136.0019124449435,1,6,1,temporal_distance == 6,2009,0.708955223880597,Party_turnout,FALSE,2009,778,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,NA,721,NA,NA,NA,NA,NA,NA,NA,0.694092443984341,1038.7665306673,NA,46.75
82,עין חרוד (מאוחד),עיןחרודמאוחד,136.0019124449435,1,6,1,temporal_distance == 6,2013,0.706056129985229,Party_turnout,FALSE,2013,779,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,יהודי,720,360,360,140,50,110,280,150,0.694092443984341,1037.32580038898,0.208333333333333,56
82,עין חרוד (מאוחד),עיןחרודמאוחד,136.0019124449435,1,6,1,temporal_distance == 6,2015,0.714285714285714,Party_turnout,TRUE,2015,785,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,יהודי,740,360,380,160,30,110,280,160,0.694092443984341,1066.14040595534,0.216216216216216,49
82,עין חרוד (מאוחד),עיןחרודמאוחד,136.0019124449435,1,6,1,temporal_distance == 6,2019,0.722058823529412,Party_turnout,TRUE,2019,784,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,יהודי,760,371,389,178,44,86,283,168,0.694092443984341,1094.9550115217,0.221052631578947,NA
82,עין חרוד (מאוחד),עיןחרודמאוחד,136.0019124449435,1,6,1,temporal_distance == 6,2019,0.737388724035608,Party_turnout,TRUE,2019.2,784,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,יהודי,760,371,389,178,44,86,283,168,0.694092443984341,1094.9550115217,0.221052631578947,NA
82,עין חרוד (מאוחד),עיןחרודמאוחד,136.0019124449435,1,6,1,temporal_distance == 6,2020,0.725146198830409,Party_turnout,TRUE,2020,783,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,יהודי,778,371,403,190,45,80,289,174,0.694092443984341,1120.88815653143,0.223650385604113,NA
