"X","SEMEL_YISHUV","SHEM_YISHUV","SHEM_YISHUV_ENGLISH","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","year","Shape_Area","density","age_65_up_percentage","sci_index_value","sci_index_cluster","ntl","within_west_bank","intersecting_west_bank","centroid_within_west_bank"
203,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",10100,5,5.1,3,0.8,1.4,4.3,0.6,2011,7.19775606583577,1403.21510031991,5.94059405940594e-05,1.251,8,NA,0,0,0
204,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",15424,7627,7796,4422,1381,1775,6376,1470,2021,7.19775606583577,2142.8900700331,0.0953060165975104,1.251,8,NA,0,0,0
205,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",14680,7251,7429,4441,1248,1632,6151,1210,2018,7.19775606583577,2039.52452204914,0.082425068119891,1.251,8,NA,0,0,0
206,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",14159,6997,7162,4318,1185,1591,5971,1094,2017,7.19775606583577,1967.14085202274,0.0772653435977117,1.251,8,NA,0,0,0
207,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",13420,6630,6790,4070,1090,1550,5710,990,2016,7.19775606583577,1864.46996497953,0.0737704918032787,1.251,8,NA,0,0,0
208,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",15726,7780,7946,4437,1426,1852,6423,1589,2022,7.19775606583577,2184.84759085455,0.101042858959685,1.251,8,NA,0,0,0
209,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",8900,4.4,4.5,2.6,0.8,1,4.1,0.4,2008,7.19775606583577,1236.49647453933,4.49438202247191e-05,1.251,8,NA,0,0,0
210,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",12700,6300,6400,3840,1040,1500,5450,880,2015,7.19775606583577,1764.43878951118,0.0692913385826772,1.251,8,60.4444444444444,0,0,0
211,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",11190,5560,5630,3270,920,1430,4840,720,2013,7.19775606583577,1554.65118540394,0.064343163538874,1.251,8,62.8888888888889,0,0,0
212,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",10680,5300,5380,3140,880,1380,4640,630,2012,7.19775606583577,1483.79576944719,0.0589887640449438,1.251,8,NA,0,0,0
213,28,"מזכרת בתיה","MAZKERET BATYA",1,"יהודי",15093,7452,7644,4397,1351,1738,6239,1368,2020,7.19775606583577,2096.90351575529,0.0906380441264162,1.251,8,NA,0,0,0
214,28,"מזכרת בתיה","MAZKERET BATYA",1,NA,8800,NA,NA,NA,NA,NA,NA,NA,2006,7.19775606583577,1222.60325572428,NA,1.251,8,55.4444444444444,0,0,0
